Year,Type of vehicle,Value
2012,Motorcars,9952515
2012,Motorcycles,10559370
2012,Taxis and hired cars,146104
2012,Commercial vehicle,1075402
2012,Other vehicles,822224
2013,Motorcars,10535575
2013,Motorcycles,11087878
2013,Taxis and hired cars,153875
2013,Commercial vehicle,1116167
2013,Other vehicles,862977
2014,Motorcars,11199910
2014,Motorcycles,11629265
2014,Taxis and hired cars,229678
2014,Commercial vehicle,1159872
2014,Other vehicles,882467
2015,Motorcars,12094790
2015,Motorcycles,11871696
2015,Taxis and hired cars,239033
2015,Commercial vehicle,1197987
2015,Other vehicles,898446
2016,Motorcars,13000358
2016,Motorcycles,12677220
2016,Taxis and hired cars,183989
2016,Commercial vehicle,1190664
2016,Other vehicles,561028
2017,Motorcars,12081093
2017,Motorcycles,12888820
2017,Taxis and hired cars,165489
2017,Commercial vehicle,1214844
2017,Other vehicles,598934
2018,Motorcars,14117537
2018,Motorcycles,13726534
2018,Taxis and hired cars,173921
2018,Commercial vehicle,1259461
2018,Other vehicles,678760
2019,Motorcars,14117537
2019,Motorcycles,13726534
2019,Taxis and hired cars,173921
2019,Commercial vehicle,1259461
2019,Other vehicles,678760